Number,Session,Gender,ID,Expression,Angle,Encoding_expression,Encoding_angle
0,A,F,01,Afraid,Left,0,2
1,A,F,01,Afraid,Right,0,3
2,A,F,01,Afraid,Half Left,0,0
3,A,F,01,Afraid,Half Right,0,1
4,A,F,01,Afraid,Straight,0,4
5,A,F,01,Angry,Left,1,2
6,A,F,01,Angry,Right,1,3
7,A,F,01,Angry,Half Left,1,0
8,A,F,01,Angry,Half Right,1,1
9,A,F,01,Angry,Straight,1,4
10,A,F,01,Disgusted,Left,2,2
11,A,F,01,Disgusted,Right,2,3
12,A,F,01,Disgusted,Half Left,2,0
13,A,F,01,Disgusted,Half Right,2,1
14,A,F,01,Disgusted,Straight,2,4
15,A,F,01,Happy,Left,3,2
16,A,F,01,Happy,Right,3,3
17,A,F,01,Happy,Half Left,3,0
18,A,F,01,Happy,Half Right,3,1
19,A,F,01,Happy,Straight,3,4
20,A,F,01,Neutral,Left,4,2
21,A,F,01,Neutral,Right,4,3
22,A,F,01,Neutral,Half Left,4,0
23,A,F,01,Neutral,Half Right,4,1
24,A,F,01,Neutral,Straight,4,4
25,A,F,01,Sad,Left,5,2
26,A,F,01,Sad,Right,5,3
27,A,F,01,Sad,Half Left,5,0
28,A,F,01,Sad,Half Right,5,1
29,A,F,01,Sad,Straight,5,4
30,A,F,01,Surprised,Left,6,2
31,A,F,01,Surprised,Half Left,6,0
32,A,F,01,Surprised,Half Right,6,1
33,A,F,01,Surprised,Straight,6,4
34,A,F,02,Afraid,Left,0,2
35,A,F,02,Afraid,Right,0,3
36,A,F,02,Afraid,Half Left,0,0
37,A,F,02,Afraid,Half Right,0,1
38,A,F,02,Afraid,Straight,0,4
39,A,F,02,Angry,Left,1,2
40,A,F,02,Angry,Right,1,3
41,A,F,02,Angry,Half Left,1,0
42,A,F,02,Angry,Half Right,1,1
43,A,F,02,Angry,Straight,1,4
44,A,F,02,Disgusted,Left,2,2
45,A,F,02,Disgusted,Right,2,3
46,A,F,02,Disgusted,Half Left,2,0
47,A,F,02,Disgusted,Half Right,2,1
48,A,F,02,Disgusted,Straight,2,4
49,A,F,02,Happy,Left,3,2
50,A,F,02,Happy,Right,3,3
51,A,F,02,Happy,Half Left,3,0
52,A,F,02,Happy,Half Right,3,1
53,A,F,02,Happy,Straight,3,4
54,A,F,02,Neutral,Left,4,2
55,A,F,02,Neutral,Right,4,3
56,A,F,02,Neutral,Half Left,4,0
57,A,F,02,Neutral,Half Right,4,1
58,A,F,02,Neutral,Straight,4,4
59,A,F,02,Sad,Left,5,2
60,A,F,02,Sad,Right,5,3
61,A,F,02,Sad,Half Left,5,0
62,A,F,02,Sad,Half Right,5,1
63,A,F,02,Sad,Straight,5,4
64,A,F,02,Surprised,Left,6,2
65,A,F,02,Surprised,Right,6,3
66,A,F,02,Surprised,Half Left,6,0
67,A,F,02,Surprised,Half Right,6,1
68,A,F,02,Surprised,Straight,6,4
69,A,F,03,Afraid,Left,0,2
70,A,F,03,Afraid,Right,0,3
71,A,F,03,Afraid,Half Left,0,0
72,A,F,03,Afraid,Half Right,0,1
73,A,F,03,Afraid,Straight,0,4
74,A,F,03,Angry,Left,1,2
75,A,F,03,Angry,Right,1,3
76,A,F,03,Angry,Half Left,1,0
77,A,F,03,Angry,Half Right,1,1
78,A,F,03,Angry,Straight,1,4
79,A,F,03,Disgusted,Left,2,2
80,A,F,03,Disgusted,Right,2,3
81,A,F,03,Disgusted,Half Left,2,0
82,A,F,03,Disgusted,Half Right,2,1
83,A,F,03,Disgusted,Straight,2,4
84,A,F,03,Happy,Left,3,2
85,A,F,03,Happy,Right,3,3
86,A,F,03,Happy,Half Left,3,0
87,A,F,03,Happy,Half Right,3,1
88,A,F,03,Happy,Straight,3,4
89,A,F,03,Neutral,Left,4,2
90,A,F,03,Neutral,Right,4,3
91,A,F,03,Neutral,Half Left,4,0
92,A,F,03,Neutral,Half Right,4,1
93,A,F,03,Neutral,Straight,4,4
94,A,F,03,Sad,Left,5,2
95,A,F,03,Sad,Right,5,3
96,A,F,03,Sad,Half Left,5,0
97,A,F,03,Sad,Half Right,5,1
98,A,F,03,Sad,Straight,5,4
99,A,F,03,Surprised,Left,6,2
100,A,F,03,Surprised,Right,6,3
101,A,F,03,Surprised,Half Left,6,0
102,A,F,03,Surprised,Half Right,6,1
103,A,F,03,Surprised,Straight,6,4
104,A,F,04,Afraid,Left,0,2
105,A,F,04,Afraid,Right,0,3
106,A,F,04,Afraid,Half Left,0,0
107,A,F,04,Afraid,Half Right,0,1
108,A,F,04,Afraid,Straight,0,4
109,A,F,04,Angry,Left,1,2
110,A,F,04,Angry,Right,1,3
111,A,F,04,Angry,Half Left,1,0
112,A,F,04,Angry,Half Right,1,1
113,A,F,04,Angry,Straight,1,4
114,A,F,04,Disgusted,Left,2,2
115,A,F,04,Disgusted,Right,2,3
116,A,F,04,Disgusted,Half Left,2,0
117,A,F,04,Disgusted,Half Right,2,1
118,A,F,04,Disgusted,Straight,2,4
119,A,F,04,Happy,Left,3,2
120,A,F,04,Happy,Right,3,3
121,A,F,04,Happy,Half Left,3,0
122,A,F,04,Happy,Half Right,3,1
123,A,F,04,Happy,Straight,3,4
124,A,F,04,Neutral,Left,4,2
125,A,F,04,Neutral,Right,4,3
126,A,F,04,Neutral,Half Left,4,0
127,A,F,04,Neutral,Half Right,4,1
128,A,F,04,Neutral,Straight,4,4
129,A,F,04,Sad,Left,5,2
130,A,F,04,Sad,Right,5,3
131,A,F,04,Sad,Half Left,5,0
132,A,F,04,Sad,Half Right,5,1
133,A,F,04,Sad,Straight,5,4
134,A,F,04,Surprised,Left,6,2
135,A,F,04,Surprised,Right,6,3
136,A,F,04,Surprised,Half Left,6,0
137,A,F,04,Surprised,Half Right,6,1
138,A,F,04,Surprised,Straight,6,4
139,A,F,05,Afraid,Left,0,2
140,A,F,05,Afraid,Right,0,3
141,A,F,05,Afraid,Half Left,0,0
142,A,F,05,Afraid,Half Right,0,1
143,A,F,05,Afraid,Straight,0,4
144,A,F,05,Angry,Left,1,2
145,A,F,05,Angry,Right,1,3
146,A,F,05,Angry,Half Left,1,0
147,A,F,05,Angry,Half Right,1,1
148,A,F,05,Angry,Straight,1,4
149,A,F,05,Disgusted,Left,2,2
150,A,F,05,Disgusted,Right,2,3
151,A,F,05,Disgusted,Half Left,2,0
152,A,F,05,Disgusted,Half Right,2,1
153,A,F,05,Disgusted,Straight,2,4
154,A,F,05,Happy,Left,3,2
155,A,F,05,Happy,Right,3,3
156,A,F,05,Happy,Half Left,3,0
157,A,F,05,Happy,Half Right,3,1
158,A,F,05,Happy,Straight,3,4
159,A,F,05,Neutral,Left,4,2
160,A,F,05,Neutral,Right,4,3
161,A,F,05,Neutral,Half Left,4,0
162,A,F,05,Neutral,Half Right,4,1
163,A,F,05,Neutral,Straight,4,4
164,A,F,05,Sad,Left,5,2
165,A,F,05,Sad,Right,5,3
166,A,F,05,Sad,Half Left,5,0
167,A,F,05,Sad,Half Right,5,1
168,A,F,05,Sad,Straight,5,4
169,A,F,05,Surprised,Left,6,2
170,A,F,05,Surprised,Right,6,3
171,A,F,05,Surprised,Half Left,6,0
172,A,F,05,Surprised,Half Right,6,1
173,A,F,05,Surprised,Straight,6,4
174,A,F,06,Afraid,Left,0,2
175,A,F,06,Afraid,Right,0,3
176,A,F,06,Afraid,Half Left,0,0
177,A,F,06,Afraid,Half Right,0,1
178,A,F,06,Afraid,Straight,0,4
179,A,F,06,Angry,Left,1,2
180,A,F,06,Angry,Right,1,3
181,A,F,06,Angry,Half Left,1,0
182,A,F,06,Angry,Half Right,1,1
183,A,F,06,Angry,Straight,1,4
184,A,F,06,Disgusted,Left,2,2
185,A,F,06,Disgusted,Right,2,3
186,A,F,06,Disgusted,Half Left,2,0
187,A,F,06,Disgusted,Half Right,2,1
188,A,F,06,Disgusted,Straight,2,4
189,A,F,06,Happy,Left,3,2
190,A,F,06,Happy,Right,3,3
191,A,F,06,Happy,Half Left,3,0
192,A,F,06,Happy,Half Right,3,1
193,A,F,06,Happy,Straight,3,4
194,A,F,06,Neutral,Left,4,2
195,A,F,06,Neutral,Right,4,3
196,A,F,06,Neutral,Half Left,4,0
197,A,F,06,Neutral,Half Right,4,1
198,A,F,06,Neutral,Straight,4,4
199,A,F,06,Sad,Left,5,2
200,A,F,06,Sad,Right,5,3
201,A,F,06,Sad,Half Left,5,0
202,A,F,06,Sad,Half Right,5,1
203,A,F,06,Sad,Straight,5,4
204,A,F,06,Surprised,Left,6,2
205,A,F,06,Surprised,Right,6,3
206,A,F,06,Surprised,Half Left,6,0
207,A,F,06,Surprised,Half Right,6,1
208,A,F,06,Surprised,Straight,6,4
209,A,F,07,Afraid,Left,0,2
210,A,F,07,Afraid,Right,0,3
211,A,F,07,Afraid,Half Left,0,0
212,A,F,07,Afraid,Half Right,0,1
213,A,F,07,Afraid,Straight,0,4
214,A,F,07,Angry,Left,1,2
215,A,F,07,Angry,Right,1,3
216,A,F,07,Angry,Half Left,1,0
217,A,F,07,Angry,Half Right,1,1
218,A,F,07,Angry,Straight,1,4
219,A,F,07,Disgusted,Left,2,2
220,A,F,07,Disgusted,Right,2,3
221,A,F,07,Disgusted,Half Left,2,0
222,A,F,07,Disgusted,Half Right,2,1
223,A,F,07,Disgusted,Straight,2,4
224,A,F,07,Happy,Left,3,2
225,A,F,07,Happy,Right,3,3
226,A,F,07,Happy,Half Left,3,0
227,A,F,07,Happy,Half Right,3,1
228,A,F,07,Happy,Straight,3,4
229,A,F,07,Neutral,Left,4,2
230,A,F,07,Neutral,Right,4,3
231,A,F,07,Neutral,Half Left,4,0
232,A,F,07,Neutral,Half Right,4,1
233,A,F,07,Neutral,Straight,4,4
234,A,F,07,Sad,Left,5,2
235,A,F,07,Sad,Right,5,3
236,A,F,07,Sad,Half Left,5,0
237,A,F,07,Sad,Half Right,5,1
238,A,F,07,Sad,Straight,5,4
239,A,F,07,Surprised,Left,6,2
240,A,F,07,Surprised,Right,6,3
241,A,F,07,Surprised,Half Left,6,0
242,A,F,07,Surprised,Half Right,6,1
243,A,F,07,Surprised,Straight,6,4
244,A,F,08,Afraid,Left,0,2
245,A,F,08,Afraid,Right,0,3
246,A,F,08,Afraid,Half Left,0,0
247,A,F,08,Afraid,Half Right,0,1
248,A,F,08,Afraid,Straight,0,4
249,A,F,08,Angry,Left,1,2
250,A,F,08,Angry,Right,1,3
251,A,F,08,Angry,Half Left,1,0
252,A,F,08,Angry,Half Right,1,1
253,A,F,08,Angry,Straight,1,4
254,A,F,08,Disgusted,Left,2,2
255,A,F,08,Disgusted,Right,2,3
256,A,F,08,Disgusted,Half Left,2,0
257,A,F,08,Disgusted,Half Right,2,1
258,A,F,08,Happy,Left,3,2
