Number,Session,Gender,ID,Expression,Angle,Encoding_expression,Encoding_angle
475,A,F,14,Sad,Left,5,2
3943,B,M,09,Surprised,Half Left,6,0
4216,B,M,17,Surprised,Left,6,2
4101,B,M,14,Happy,Left,3,2
3277,B,F,25,Sad,Half Left,5,0
4556,B,M,28,Disgusted,Right,2,3
1702,A,M,15,Afraid,Half Left,0,0
845,A,F,25,Happy,Left,3,2
920,A,F,27,Neutral,Left,4,2
3269,B,F,25,Happy,Straight,3,4
1905,A,M,21,Angry,Left,1,2
3402,B,F,29,Disgusted,Half Left,2,0
2271,A,M,31,Sad,Half Left,5,0
1375,A,M,05,Neutral,Half Left,4,0
4231,B,M,18,Disgusted,Left,2,2
2859,B,F,13,Sad,Right,5,3
4456,B,M,25,Disgusted,Straight,2,4
4368,B,M,22,Sad,Half Right,5,1
4092,B,M,14,Angry,Right,1,3
1326,A,M,04,Angry,Half Right,1,1
645,A,F,19,Neutral,Straight,4,4
3773,B,M,05,Afraid,Half Left,0,0
2450,B,F,01,Surprised,Half Left,6,0
3602,B,F,35,Afraid,Half Left,0,0
3454,B,F,30,Sad,Straight,5,4
4529,B,M,27,Happy,Half Right,3,1
371,A,F,11,Sad,Right,5,3
2980,B,F,17,Angry,Half Left,1,0
2566,B,F,05,Angry,Half Right,1,1
1204,A,F,35,Neutral,Straight,4,4
3645,B,M,01,Disgusted,Left,2,2
965,A,F,28,Surprised,Left,6,2
2771,B,F,11,Angry,Left,1,2
3507,B,F,32,Disgusted,Half Left,2,0
1367,A,M,05,Disgusted,Straight,2,4
1815,A,M,18,Happy,Left,3,2
1026,A,F,30,Neutral,Right,4,3
1267,A,M,02,Happy,Half Right,3,1
320,A,F,10,Angry,Straight,1,4
3742,B,M,04,Angry,Right,1,3
2625,B,F,06,Surprised,Half Left,6,0
1401,A,M,06,Disgusted,Half Right,2,1
3154,B,F,22,Angry,Straight,1,4
1203,A,F,35,Neutral,Half Right,4,1
2010,A,M,24,Angry,Left,1,2
4431,B,M,24,Neutral,Straight,4,4
3882,B,M,08,Angry,Right,1,3
480,A,F,14,Surprised,Left,6,2
2817,B,F,12,Happy,Half Right,3,1
3158,B,F,22,Disgusted,Half Right,2,1
1781,A,M,17,Happy,Left,3,2
2685,B,F,08,Neutral,Half Right,4,1
4108,B,M,14,Neutral,Half Left,4,0
2708,B,F,09,Disgusted,Half Left,2,0
399,A,F,12,Happy,Straight,3,4
2227,A,M,30,Happy,Half Left,3,0
1278,A,M,02,Sad,Straight,5,4
